"","date","Admin2","household","individual","household.leave","individual.leave"
"1","2016-05","Al Butnan",3389,16945,NA,NA
"2","2016-05","Al Jabal Al Akhdar",4605,23025,NA,NA
"3","2016-05","Al Jabal Al Gharbi",5713,28547,NA,NA
"4","2016-05","Al Jifarah",4867,24430,NA,NA
"5","2016-05","Al Jufrah",1410,7050,NA,NA
"6","2016-05","Al Kufrah",703,3515,NA,NA
"7","2016-05","Al Margab",3123,15649,NA,NA
"8","2016-05","Al Marj",1167,5835,NA,NA
"9","2016-05","Al Wahat",7210,36050,NA,NA
"10","2016-05","An Niquat Al Khums",3498,17490,NA,NA
"11","2016-05","Ash Shati",718,3590,NA,NA
"12","2016-05","Az Zawiyah",1974,9870,NA,NA
"13","2016-05","Banghazi",25705,128525,NA,NA
"14","2016-05","Darnah",2671,13355,NA,NA
"15","2016-05","Ghat",562,2810,NA,NA
"16","2016-05","Misratah",4731,24043,NA,NA
"17","2016-05","Murzuq",703,3525,NA,NA
"18","2016-05","Nalut",669,3345,NA,NA
"19","2016-05","Sabha",1488,7440,NA,NA
"20","2016-05","Sirte",350,1750,NA,NA
"21","2016-05","Tripoli",6991,34955,NA,NA
"22","2016-05","Wadi Al Hayaa",965,5379,NA,NA
"23","2016-06","Al Butnan",3389,17303,NA,NA
"24","2016-06","Al Jabal Al Akhdar",4605,23025,NA,NA
"25","2016-06","Al Jabal Al Gharbi",5440,27202,NA,NA
"26","2016-06","Al Jifarah",5162,25919,NA,NA
"27","2016-06","Al Jufrah",1392,7011,NA,NA
"28","2016-06","Al Kufrah",930,4650,NA,NA
"29","2016-06","Al Margab",4190,20984,NA,NA
"30","2016-06","Al Marj",1167,5835,NA,NA
"31","2016-06","Al Wahat",6878,34390,NA,NA
"32","2016-06","An Niquat Al Khums",1068,5384,NA,NA
"33","2016-06","Ash Shati",603,3015,NA,NA
"34","2016-06","Az Zawiyah",2769,13795,NA,NA
"35","2016-06","Banghazi",25705,128525,NA,NA
"36","2016-06","Darnah",1771,8855,NA,NA
"37","2016-06","Ghat",450,2250,NA,NA
"38","2016-06","Misratah",7931,40043,NA,NA
"39","2016-06","Murzuq",694,3480,NA,NA
"40","2016-06","Nalut",969,4845,NA,NA
"41","2016-06","Sabha",1128,5640,NA,NA
"42","2016-06","Sirte",350,1750,NA,NA
"43","2016-06","Tripoli",7194,35970,NA,NA
"44","2016-06","Wadi Al Hayaa",965,5379,NA,NA
"45","2016-07","Al Butnan",2391,11955,NA,NA
"46","2016-07","Al Jabal Al Akhdar",4265,21325,NA,NA
"47","2016-07","Al Jabal Al Gharbi",5875,29375,NA,NA
"48","2016-07","Al Jifarah",5142,25826,NA,NA
"49","2016-07","Al Jufrah",1410,7050,NA,NA
"50","2016-07","Al Kufrah",703,3515,NA,NA
"51","2016-07","Al Margab",5085,25509,NA,NA
"52","2016-07","Al Marj",1219,6095,NA,NA
"53","2016-07","Al Wahat",6054,30270,NA,NA
"54","2016-07","An Niquat Al Khums",1075,5419,NA,NA
"55","2016-07","Ash Shati",456,2280,NA,NA
"56","2016-07","Az Zawiyah",1890,9450,NA,NA
"57","2016-07","Banghazi",12628,63140,NA,NA
"58","2016-07","Darnah",1127,5635,NA,NA
"59","2016-07","Ghat",742,3710,NA,NA
"60","2016-07","Misratah",8105,40913,NA,NA
"61","2016-07","Murzuq",693,3475,NA,NA
"62","2016-07","Nalut",944,4720,NA,NA
"63","2016-07","Sabha",785,3925,NA,NA
"64","2016-07","Sirte",350,1750,NA,NA
"65","2016-07","Tripoli",7542,37711,NA,NA
"66","2016-07","Wadi Al Hayaa",954,5324,NA,NA
"67","2016-09","Al Butnan",2391,12165,NA,NA
"68","2016-09","Al Jabal Al Akhdar",4265,21325,NA,NA
"69","2016-09","Al Jabal Al Gharbi",5455,27275,NA,NA
"70","2016-09","Al Jifarah",5567,27962,NA,NA
"71","2016-09","Al Jufrah",976,4998,NA,NA
"72","2016-09","Al Kufrah",703,3515,NA,NA
"73","2016-09","Al Margab",4485,22549,NA,NA
"74","2016-09","Al Marj",1219,6095,NA,NA
"75","2016-09","Al Wahat",6054,30270,NA,NA
"76","2016-09","An Niquat Al Khums",1124,6102,NA,NA
"77","2016-09","Ash Shati",440,2200,NA,NA
"78","2016-09","Az Zawiyah",1644,8220,NA,NA
"79","2016-09","Banghazi",12628,63140,NA,NA
"80","2016-09","Darnah",727,3635,NA,NA
"81","2016-09","Ghat",742,3710,NA,NA
"82","2016-09","Misratah",3005,15025,NA,NA
"83","2016-09","Murzuq",274,1380,NA,NA
"84","2016-09","Nalut",940,4700,NA,NA
"85","2016-09","Sabha",805,4025,NA,NA
"86","2016-09","Sirte",350,1750,NA,NA
"87","2016-09","Tripoli",7574,37871,NA,NA
"88","2016-09","Wadi Al Hayaa",954,5324,NA,NA
"89","2016-12","Al Butnan",2391,12165,NA,NA
"90","2016-12","Al Jabal Al Akhdar",4265,21325,NA,NA
"91","2016-12","Al Jabal Al Gharbi",5464,27420,NA,NA
"92","2016-12","Al Jifarah",4654,23440,NA,NA
"93","2016-12","Al Jufrah",1605,8025,NA,NA
"94","2016-12","Al Kufrah",930,4650,NA,NA
"95","2016-12","Al Margab",4571,21309,NA,NA
"96","2016-12","Al Marj",1219,6095,NA,NA
"97","2016-12","Al Wahat",7074,35370,NA,NA
"98","2016-12","An Niquat Al Khums",704,3498,NA,NA
"99","2016-12","Ash Shati",288,1440,NA,NA
"100","2016-12","Az Zawiyah",1393,6989,NA,NA
"101","2016-12","Banghazi",10442,52210,NA,NA
"102","2016-12","Darnah",727,3635,NA,NA
"103","2016-12","Ghat",685,3425,NA,NA
"104","2016-12","Misratah",3005,15025,NA,NA
"105","2016-12","Murzuq",465,2325,NA,NA
"106","2016-12","Nalut",954,4797,NA,NA
"107","2016-12","Sabha",275,2100,NA,NA
"108","2016-12","Sirte",268,1340,NA,NA
"109","2016-12","Tripoli",8724,43620,NA,NA
"110","2016-12","Wadi Al Hayaa",675,3405,NA,NA
"111","2017-01","Al Jabal Al Akhdar",2365,11825,NA,NA
"112","2017-01","Al Jabal Al Gharbi",NA,NA,NA,NA
"113","2017-01","Aljfara",NA,NA,NA,NA
"114","2017-01","Aljufra",550,2750,NA,NA
"115","2017-01","Alkufra",1410,7059,NA,NA
"116","2017-01","Almargeb",4801,24005,NA,NA
"117","2017-01","Almarj",969,4840,NA,NA
"118","2017-01","Azzawya",NA,NA,NA,NA
"119","2017-01","Benghazi",8587,42935,NA,NA
"120","2017-01","Derna",510,2550,NA,NA
"121","2017-01","Ejdabia",5095,25475,NA,NA
"122","2017-01","Ghat",1443,7218,NA,NA
"123","2017-01","Misrata",9998,50497,NA,NA
"124","2017-01","Murzuq",969,4941,NA,NA
"125","2017-01","Nalut",NA,NA,NA,NA
"126","2017-01","Sebha",843,4196,NA,NA
"127","2017-01","Sirt",1844,9226,NA,NA
"128","2017-01","Tobruk",654,3270,NA,NA
"129","2017-01","Tripoli",8354,41832,NA,NA
"130","2017-01","Ubari",614,3329,NA,NA
"131","2017-01","Wadi Ashshati",209,1050,NA,NA
"132","2017-01","Zwara",1458,7236,NA,NA
"133","2017-02","Al Jabal Al Gharbi",3517,17585,1322,6610
"134","2017-02","Aljfara",695,3475,335,1675
"135","2017-02","Alkufra",1327,6635,200,1000
"136","2017-02","Almargeb",2473,12365,199,995
"137","2017-02","Ghat",1608,8040,307,1535
"138","2017-02","Misrata",7760,38798,1970,9850
"139","2017-02","Murzuq",333,1676,0,0
"140","2017-02","Nalut",440,2200,0,0
"141","2017-02","Sebha",9,45,0,0
"142","2017-02","Sirt",340,1700,1760,8800
"143","2017-02","Tripoli",257,1285,186,930
"144","2017-02","Ubari",287,1435,1980,9900
"145","2017-02","Zwara",473,2308,130,584
"146","2017-03","Al Jabal Al Akhdar",2285,11425,0,0
"147","2017-03","Al Jabal Al Gharbi",0,0,2321,11620
"148","2017-03","Aljfara",1175,5875,819,3945
"149","2017-03","Aljufra",499,2495,324,1620
"150","2017-03","Alkufra",90,450,0,0
"151","2017-03","Almargeb",509,2545,0,0
"152","2017-03","Almarj",968,4840,0,0
"153","2017-03","Azzawya",1299,6500,161,817
"154","2017-03","Benghazi",8643,43215,19265,96325
"155","2017-03","Derna",510,2550,0,0
"156","2017-03","Ejdabia",4618,23090,0,0
"157","2017-03","Misrata",240,1200,0,0
"158","2017-03","Murzuq",806,4030,124,620
"159","2017-03","Nalut",258,1290,760,3800
"160","2017-03","Sebha",799,3995,4,15
"161","2017-03","Sirt",333,1665,0,0
"162","2017-03","Tobruk",602,3010,0,0
"163","2017-03","Tripoli",7145,35725,1459,7295
"164","2017-03","Ubari",326,1668,0,0
"165","2017-03","Wadi Ashshati",363,1815,337,1685
"166","2017-03","Zwara",337,1685,8,40
"167","2017-04","Al Jabal Al Akhdar",2270,11350,0,0
"168","2017-04","Al Jabal Al Gharbi",3189,15945,3718,18622
"169","2017-04","Aljfara",1722,8710,1222,6110
"170","2017-04","Aljufra",435,2175,324,1620
"171","2017-04","Alkufra",1458,7290,357,1785
"172","2017-04","Almargeb",1632,8162,190,940
"173","2017-04","Almarj",876,4380,0,0
"174","2017-04","Azzawya",1301,6510,110,556
"175","2017-04","Benghazi",9276,46380,19665,98325
"176","2017-04","Derna",489,2445,0,0
"177","2017-04","Ejdabia",3980,19900,0,0
"178","2017-04","Ghat",1632,8160,320,1600
"179","2017-04","Misrata",8058,40290,1970,9850
"180","2017-04","Murzuq",1218,6111,120,600
"181","2017-04","Nalut",613,3065,760,3800
"182","2017-04","Sebha",802,4010,76,380
"183","2017-04","Sirt",571,2855,1150,5750
"184","2017-04","Tobruk",561,2805,0,0
"185","2017-04","Tripoli",6125,30635,1717,8585
"186","2017-04","Ubari",656,3310,1900,9500
"187","2017-04","Wadi Ashshati",371,1855,327,1635
"188","2017-04","Zwara",769,3845,142,700
"189","2017-06","Al Jabal Al Akhdar",2091,10455,0,0
"190","2017-06","Al Jabal Al Gharbi",3297,16485,3783,18950
"191","2017-06","Aljfara",1685,8425,1225,6125
