"","admin2","date","iso","household","individual","male","female","infant","child","youth","adult","elderly","fatalities","event","year","admin2pop","individual_norm"
"1","Abiemnhom",Mar 2020,"SSD",78,421,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0137845377301427
"2","Abiemnhom",Mar 2020,"SSD",48,261,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.00854575854529034
"3","Abiemnhom",Mar 2020,"SSD",161,872,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0285513465574451
"4","Abiemnhom",Mar 2020,"SSD",274,1479,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0484259650899786
"5","Abiemnhom",Mar 2020,"SSD",75,406,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0132934021815628
"6","Abiemnhom",Mar 2020,"SSD",113,608,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0199073609024388
"7","Abiemnhom",Mar 2020,"SSD",158,852,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0278964991593386
"8","Abiemnhom",Mar 2020,"SSD",146,787,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0257682451154923
"9","Abiemnhom",Mar 2020,"SSD",46,249,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.00815285010642642
"10","Abiemnhom",Mar 2020,"SSD",304,1642,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0537629713845469
"11","Abiemnhom",Mar 2020,"SSD",65,351,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0114925718367698
"12","Abiemnhom",Mar 2020,"SSD",200,1081,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0353945018676585
"13","Abiemnhom",Mar 2020,"SSD",73,392,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0128350090028882
"14","Abiemnhom",Mar 2020,"SSD",49,264,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.00864398565500632
"15","Abiemnhom",Mar 2020,"SSD",204,1103,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0361148340055756
"16","Abiemnhom",Mar 2020,"SSD",65,343,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0112306328775272
"17","Abiemnhom",Mar 2020,"SSD",250,1349,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0441694570022861
"18","Abiemnhom",Mar 2020,"SSD",385,1098,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.035951122156049
"19","Abiemnhom",Mar 2020,"SSD",55,299,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.00978996860169276
"20","Abiemnhom",Mar 2020,"SSD",45,241,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0078909111471838
"21","Abiemnhom",Mar 2020,"SSD",146,791,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0258992145951136
"22","Abiemnhom",Mar 2020,"SSD",84,456,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0149305206768291
"23","Abiemnhom",Mar 2020,"SSD",58,313,NA,NA,NA,NA,NA,NA,NA,5,2,2020,30541.466695644,0.0102483617803673
"24","Akobo",Apr 2018,"SSD",2499,12589,NA,NA,NA,NA,NA,NA,NA,1,1,2018,182969.051764268,0.0688039855845091
"25","Akobo",Apr 2018,"SSD",298,1582,NA,NA,NA,NA,NA,NA,NA,1,1,2018,182969.051764268,0.00864627096629545
"26","Akobo",Apr 2018,"SSD",1124,5630,NA,NA,NA,NA,NA,NA,NA,1,1,2018,182969.051764268,0.0307702310621008
"27","Akobo",Apr 2018,"SSD",479,2407,NA,NA,NA,NA,NA,NA,NA,1,1,2018,182969.051764268,0.0131552302249514
"28","Akobo",Apr 2018,"SSD",601,3075,NA,NA,NA,NA,NA,NA,NA,1,1,2018,182969.051764268,0.0168061208731723
"29","Akobo",Apr 2018,"SSD",621,2606,NA,NA,NA,NA,NA,NA,NA,1,1,2018,182969.051764268,0.0142428458521909
"30","Akobo",Nov 2019,"SSD",545,3324,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.0181670067585121
"31","Akobo",Nov 2019,"SSD",140,729,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.00398428036310328
"32","Akobo",Nov 2019,"SSD",133,811,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.00443244358638787
"33","Akobo",Nov 2019,"SSD",99,584,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.00319179661461223
"34","Akobo",Nov 2019,"SSD",227,1385,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.00756958614938002
"35","Akobo",Nov 2019,"SSD",92,575,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.00314260796815416
"36","Akobo",Nov 2019,"SSD",52,234,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.00127890480790969
"37","Akobo",Nov 2019,"SSD",163,830,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.00453628628446601
"38","Akobo",Nov 2019,"SSD",105,640,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.00349785930368463
"39","Akobo",Nov 2019,"SSD",13,79,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.000431767007798572
"40","Akobo",Nov 2019,"SSD",11,67,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.000366182145854485
"41","Akobo",Nov 2019,"SSD",176,866,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.00473304087029827
"42","Akobo",Nov 2019,"SSD",110,702,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.00383671442372908
"43","Akobo",Nov 2019,"SSD",99,604,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.00330110471785237
"44","Akobo",Nov 2019,"SSD",126,658,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.00359623659660076
"45","Akobo",Nov 2019,"SSD",140,676,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.00369461388951689
"46","Akobo",Nov 2019,"SSD",132,732,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.0040006765785893
"47","Akobo",Nov 2019,"SSD",154,939,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.0051320154471248
"48","Akobo",Nov 2019,"SSD",102,536,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.00292945716683588
"49","Akobo",Nov 2019,"SSD",23,192,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.00104935779110539
"50","Akobo",Nov 2019,"SSD",120,1027,NA,NA,NA,NA,NA,NA,NA,0,1,2019,182969.051764268,0.00561297110138143
