"","year","admin2","iso","date","household","individual","male","female","infant","child","youth","adult","elderly","admin2pop","percent_adult","individual_norm"
"1",2015,"GASSOL","NGA",Mar 2015,74,648,257,391,61,137,160,205,85,NA,51.396740570621,NA
"2",2015,"GIREI","NGA",Nov 2015,299,1898,993,905,91,287,682,806,32,1682082.69921777,51.396740570621,0.00112836307090171
"3",2015,"FUFORE","NGA",Nov 2015,475,3678,1725,1953,66,259,1503,1820,30,2297776.77629406,51.396740570621,0.00160067768024534
"4",2015,"RIYOM","NGA",Nov 2015,1432,6770,3626,3144,92,1172,2078,3227,201,NA,51.396740570621,NA
"5",2015,"MAIDUGURI M. C.","NGA",Nov 2015,10299,73138,26973,46165,3621,8438,26111,31299,3669,NA,51.396740570621,NA
"6",2015,"JALINGO","NGA",Sep 2015,185,1085,512,573,46,296,290,311,142,NA,51.396740570621,NA
"7",2015,"BALI","NGA",Sep 2015,255,901,413,488,60,209,190,314,128,NA,51.396740570621,NA
"8",2015,"JALINGO","NGA",Nov 2015,210,1036,427,609,25,158,170,583,100,NA,51.396740570621,NA
"9",2015,"LAFIA","NGA",Jul 2015,155,919,0,0,0,0,0,0,0,NA,51.396740570621,NA
"10",2015,"MAIDUGURI","NGA",Jun 2015,9356,71569,25660,45909,3012,8781,21119,35228,3429,4018668.13776926,51.396740570621,0.0178091341574991
"11",2015,"KUJE","NGA",Jul 2015,54,432,0,0,0,0,0,0,0,NA,51.396740570621,NA
"12",2015,"WASE","NGA",Nov 2015,85,589,252,337,38,96,196,227,32,NA,51.396740570621,NA
"13",2015,"YOLA NORTH","NGA",Jan 2015,422,2140,768,1372,108,219,637,1141,35,3160018.5744786,51.396740570621,0.00067721120922623
"14",2015,"LAFIA","NGA",Nov 2015,129,573,322,251,9,92,192,265,15,NA,51.396740570621,NA
"15",2015,"JERE","NGA",Jul 2015,2667,20032,9319,10713,581,2379,8409,8168,495,2428520.89128178,51.396740570621,0.00824864223812672
"16",2015,"SONG","NGA",Jun 2015,19,164,58,106,7,9,60,86,2,2740600.58800149,51.396740570621,5.98408979104805e-05
"17",2015,"GASSOL","NGA",Nov 2015,41,262,139,123,54,11,29,105,63,NA,51.396740570621,NA
"18",2015,"KONDUGA","NGA",Jul 2015,4349,37070,17748,19322,1393,11189,12099,10566,1823,2039364.08189473,51.396740570621,0.0181772349180334
"19",2015,"BALI","NGA",Jul 2015,246,747,326,421,60,169,150,294,74,NA,51.396740570621,NA
"20",2015,"DAMATURU","NGA",Jul 2015,965,4478,2108,2370,225,739,1886,1366,262,1984821.33559198,51.396740570621,0.00225612246286361
"21",2015,"KOKONA","NGA",Jul 2015,18,244,0,0,0,0,0,0,0,NA,51.396740570621,NA
"22",2015,"DAMATURU","NGA",Nov 2015,3418,8166,3888,4278,1492,1756,1741,1993,1184,1984821.33559198,51.396740570621,0.0041142242143243
"23",2015,"GIRERI","NGA",Mar 2015,220,1216,485,731,42,153,286,674,61,NA,51.396740570621,NA
"24",2015,"GWAGWALADA","NGA",Nov 2015,7,45,22,23,5,12,14,14,0,NA,51.396740570621,NA
"25",2015,"TAFAWA BALEWA","NGA",Nov 2015,297,1485,593,892,32,298,446,681,28,NA,51.396740570621,NA
"26",2015,"DAMATURU","NGA",Sep 2015,2228,13894,6485,7409,330,1961,4766,4650,2187,1984821.33559198,51.396740570621,0.00700012628383808
"27",2015,"MUBI SOUTH","NGA",Jan 2015,42,357,160,197,40,35,108,174,0,1945372.4597704,51.396740570621,0.000183512415942258
"28",2015,"GIREI","NGA",Jul 2015,329,1852,708,1144,17,612,404,812,7,1682082.69921777,51.396740570621,0.00110101602071126
"29",2015,"YOLA SOUTH","NGA",Mar 2015,1098,6792,2697,4095,636,1432,1682,2155,887,2771035.30214645,51.396740570621,0.00245106945939624
"30",2015,"GASSOL","NGA",Jun 2015,53,412,196,216,7,56,62,282,5,NA,51.396740570621,NA
"31",2015,"RIYOM","NGA",Sep 2015,2157,8914,4036,4878,230,886,3268,4322,208,NA,51.396740570621,NA
"32",2015,"YOLA SOUTH","NGA",Jan 2015,1499,8806,3802,5004,529,840,2558,4773,106,2771035.30214645,51.396740570621,0.00317787362477081
"33",2015,"GWAGWALADA","NGA",Sep 2015,7,42,24,18,5,6,10,21,0,NA,51.396740570621,NA
"34",2015,"JERE","NGA",Jan 2015,1270,13032,6061,6971,589,1530,2970,7668,275,2428520.89128178,51.396740570621,0.00536622931545864
"35",2015,"YOLA NORTH","NGA",Jul 2015,272,1809,891,918,155,183,807,544,120,3160018.5744786,51.396740570621,0.000572464989481426
"36",2015,"BALI","NGA",Nov 2015,290,1055,461,594,38,56,198,639,124,NA,51.396740570621,NA
"37",2015,"GIRERI","NGA",Jan 2015,2003,13311,6311,7000,694,1927,4080,6503,107,NA,51.396740570621,NA
"38",2015,"JOS SOUTH","NGA",Nov 2015,154,646,277,369,69,128,201,237,11,NA,51.396740570621,NA
"39",2015,"YOLA NORTH","NGA",Jun 2015,206,1692,671,1021,25,269,716,669,13,3160018.5744786,51.396740570621,0.000535439890659244
"40",2015,"FUFORE","NGA",Jul 2015,618,3619,1800,1819,79,261,1628,1445,206,2297776.77629406,51.396740570621,0.00157500068646218
"41",2015,"YOLA NORTH","NGA",Mar 2015,403,2064,740,1324,105,213,612,1111,23,3160018.5744786,51.396740570621,0.000653160717683617
"42",2015,"BIU","NGA",Mar 2015,109,861,340,521,18,50,282,386,125,2410072.67329813,51.396740570621,0.000357250637932732
"43",2015,"MUBI SOUTH","NGA",Nov 2015,15,61,30,31,7,11,22,20,1,1945372.4597704,51.396740570621,3.1356463228229e-05
"44",2015,"GWAGWALADA","NGA",Jul 2015,7,45,24,21,6,11,12,16,0,NA,51.396740570621,NA
"45",2015,"NUMAN","NGA",Mar 2015,62,432,215,217,30,86,110,164,42,3596980.54585688,51.396740570621,0.000120100732959924
"46",2015,"GASSOL","NGA",Sep 2015,51,320,141,179,12,28,103,172,5,NA,51.396740570621,NA
"47",2015,"JERE","NGA",Jun 2015,2811,11362,3852,7510,551,1417,2405,5442,1547,2428520.89128178,51.396740570621,0.00467856794676497
"48",2015,"JERE","NGA",Sep 2015,2482,19739,8817,10922,930,2114,8507,7127,1061,2428520.89128178,51.396740570621,0.00812799266864933
"49",2015,"YOLA NORTH","NGA",Sep 2015,83,420,172,248,80,100,77,139,24,3160018.5744786,51.396740570621,0.00013291061115655
"50",2015,"YOLA NORTH","NGA",Nov 2015,90,724,315,409,84,167,169,246,58,3160018.5744786,51.396740570621,0.000229112577327005
"51",2015,"KONDUGA","NGA",Nov 2015,2976,22319,7859,14460,952,2021,4157,14151,1038,2039364.08189473,51.396740570621,0.0109440978186023
"52",2015,"MAIDUGURI M. C.","NGA",Jul 2015,8736,62103,28686,33417,2631,10265,20891,25999,2317,NA,51.396740570621,NA
"53",2015,"MAIDUGURI M. C.","NGA",Sep 2015,10610,67891,29399,38492,2485,15320,18721,28087,3278,NA,51.396740570621,NA
"54",2015,"FUFORE","NGA",Sep 2015,444,2899,1332,1567,206,708,966,847,172,2297776.77629406,51.396740570621,0.00126165432165069
"55",2015,"JERE","NGA",Nov 2015,2600,15988,6882,9106,942,2787,4726,5813,1720,2428520.89128178,51.396740570621,0.0065834311153739
"56",2015,"KUMBOTSO","NGA",Nov 2015,20,100,100,0,0,0,100,0,0,NA,51.396740570621,NA
"57",2015,"MAIDUGURI","NGA",Mar 2015,12705,95050,36465,58585,11195,20668,26319,25513,11355,4018668.13776926,51.396740570621,0.0236521147657546
"58",2015,"GASSOL","NGA",Jul 2015,58,342,107,235,27,80,118,108,9,NA,51.396740570621,NA
"59",2015,"DAMATURU","NGA",Mar 2015,667,4672,1621,3051,23,719,2083,1715,132,1984821.33559198,51.396740570621,0.00235386425781571
"60",2015,"KONDUGA","NGA",Sep 2015,3369,25270,9405,15865,870,4057,8980,9972,1391,2039364.08189473,51.396740570621,0.0123911175176343
"61",2015,"DONGA","NGA",Nov 2015,86,385,206,179,44,83,94,143,21,NA,51.396740570621,NA
"62",2015,"FUFORE","NGA",Jan 2015,208,962,464,498,0,342,276,324,20,2297776.77629406,51.396740570621,0.000418665559650903
"63",2015,"JOS SOUTH","NGA",Sep 2015,154,756,335,421,45,172,284,245,10,NA,51.396740570621,NA
"64",2015,"KONDUGA","NGA",Mar 2015,891,8016,1078,6938,20,126,816,3782,3272,2039364.08189473,51.396740570621,0.00393063704081347
"65",2015,"KAGARKO","NGA",Sep 2015,1229,8435,3913,4522,356,1215,2003,4494,367,NA,51.396740570621,NA
"66",2015,"KAGARKO","NGA",Nov 2015,281,2062,982,1080,116,405,529,901,111,NA,51.396740570621,NA
"67",2015,"MUNICIPAL","NGA",Jul 2015,1046,5741,946,1024,218,416,653,673,10,NA,51.396740570621,NA
"68",2015,"MUNICIPAL","NGA",Sep 2015,1201,8467,3447,5020,146,798,1486,5963,74,NA,51.396740570621,NA
"69",2015,"MUNICIPAL","NGA",Nov 2015,1165,7077,2576,4501,143,763,1513,4593,65,NA,51.396740570621,NA
"70",2015,"YOLA SOUTH","NGA",Jul 2015,443,1737,773,964,62,525,612,533,5,2771035.30214645,51.396740570621,0.000626841526939233
"71",2015,"FUFORE","NGA",Jun 2015,241,1563,804,759,32,311,621,590,9,2297776.77629406,51.396740570621,0.000680222733611602
"72",2015,"JOS NORTH","NGA",Sep 2015,31,248,112,136,0,3,233,12,0,NA,51.396740570621,NA
"73",2015,"DONGA","NGA",Mar 2015,245,1265,505,760,78,335,438,368,46,NA,51.396740570621,NA
"74",2015,"NUMAN","NGA",Jan 2015,65,418,191,227,32,43,166,175,2,3596980.54585688,51.396740570621,0.000116208579576964
"75",2015,"MUBI SOUTH","NGA",Sep 2015,55,180,102,78,8,13,62,90,7,1945372.4597704,51.396740570621,9.2527268542315e-05
"76",2015,"SONG","NGA",Jan 2015,48,381,162,219,81,95,59,143,3,2740600.58800149,51.396740570621,0.000139020622584714
"77",2015,"ASKIRA / UBA","NGA",Nov 2015,338,2316,856,1460,86,411,793,714,312,NA,51.396740570621,NA
"78",2015,"BIU","NGA",Nov 2015,649,4016,1788,2228,305,1351,1228,731,401,2410072.67329813,51.396740570621,0.00166633979319146
"79",2015,"BIU","NGA",Jul 2015,2536,21556,8875,12681,1271,3167,10010,6353,755,2410072.67329813,51.396740570621,0.00894412863098486
"80",2015,"BIU","NGA",Sep 2015,455,4112,1839,2273,105,1351,1125,931,600,2410072.67329813,51.396740570621,0.00170617261693309
"81",2015,"WUKARI","NGA",Jun 2015,583,1303,632,671,145,206,335,545,72,NA,51.396740570621,NA
"82",2015,"WUKARI","NGA",Jul 2015,393,2604,1165,1439,268,459,739,978,160,NA,51.396740570621,NA
"83",2015,"LAFIA","NGA",Sep 2015,625,5054,2514,2540,116,415,1618,2499,406,NA,51.396740570621,NA
"84",2015,"MAKURDI","NGA",Nov 2015,40,439,246,193,8,58,210,156,7,NA,51.396740570621,NA
"85",2015,"YOLA SOUTH","NGA",Sep 2015,473,2022,1002,1020,213,223,654,881,51,2771035.30214645,51.396740570621,0.000729691172982804
"86",2015,"YOLA SOUTH","NGA",Nov 2015,496,2480,1257,1223,571,500,320,1027,62,2771035.30214645,51.396740570621,0.000894972358554576
"87",2015,"MAIDUGURI","NGA",Jan 2015,12401,106981,38093,68888,2219,24262,28884,50518,1098,4018668.13776926,51.396740570621,0.0266210088348784
"88",2015,"DONGA","NGA",Sep 2015,94,461,204,257,32,101,137,124,67,NA,51.396740570621,NA
"89",2015,"ASKIRA / UBA","NGA",Sep 2015,335,2284,841,1443,66,409,788,711,310,NA,51.396740570621,NA
"90",2015,"GANAYE","NGA",Jan 2015,58,350,150,200,10,62,94,182,2,NA,51.396740570621,NA
"91",2015,"JERE","NGA",Mar 2015,1294,10435,5252,5183,376,1174,1136,7015,734,2428520.89128178,51.396740570621,0.00429685412114878
"92",2015,"WUKARI","NGA",Mar 2015,2622,2622,1300,1322,278,514,746,705,379,NA,51.396740570621,NA
"93",2015,"BIU","NGA",Jan 2015,171,859,384,475,34,114,323,327,61,2410072.67329813,51.396740570621,0.000356420787438114
"94",2015,"BIU","NGA",Jun 2015,300,2517,1121,1396,0,421,446,1650,0,2410072.67329813,51.396740570621,0.00104436684747582
"95",2015,"GIREI","NGA",Mar 2015,1835,10752,4412,6340,119,1962,3264,4202,1205,1682082.69921777,51.396740570621,0.00639207573147272
"96",2015,"LAU","NGA",Sep 2015,820,5036,2457,2579,477,891,1270,1516,882,NA,51.396740570621,NA
"97",2015,"KONDUGA","NGA",Jun 2015,2920,14200,5830,8370,1235,1360,3205,6400,2000,2039364.08189473,51.396740570621,0.00696295483776838
"98",2015,"GIREI","NGA",Sep 2015,330,2265,1165,1100,263,210,862,898,32,1682082.69921777,51.396740570621,0.00134654497133424
"99",2015,"TOUNGO","NGA",Jan 2015,68,887,400,487,43,209,283,333,19,2298805.59700997,51.396740570621,0.000385852549321139
"100",2015,"TOUNGO","NGA",Mar 2015,21,342,146,196,26,21,88,180,27,2298805.59700997,51.396740570621,0.00014877291078673
"101",2015,"WUKARI","NGA",Sep 2015,385,2485,1199,1286,228,380,742,950,185,NA,51.396740570621,NA
