Country / territory of asylum/residence,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,122025,233881,763990,1099069,885191,1172767,1145285,938194,182123,930769,820870,773209,501882,697216,1027539,1377526,1442827,1564496
Albania,106,50,52,35,35,28,32,30,33,32,33,38,44,56,37,3741,3624,1030
Algeria,87040,66214,1,7,55,23,71,119,54,76,140,329,546,1703,2411,2176,2542,3512
Angola,7749,7977,8618,8678,8599,33060,13566,13713,985023,0,0,,,,0,0,14175,13402
Anguilla,,,,,,,,,,,,,,,0,0,0,0
Antigua and Barbuda,,,,,,,,,,,,,0,0,0,0,0,0
Argentina,204,271.25,,,473,455,509,458.75,,,308,344,379,431,381,471,477,728
Armenia,27518,0,4,45,80,174,200,255,244,233,245,423,424,463,518,535,554,586
Aruba,,,,,,,,,,,0,0,0,0,0,1,0,73
Australia,,,,,,,,,,,,,,,0,0,0,0
Austria,,,,,,,,,,,,0,0,,0,0,0,0
Azerbaijan,2582,3461,3477,3685,1454,1321,1208,1036.5,865,752,200611,564,538,459,474,448,402,399
Bahamas,,,,,,,,,,9,9,4,0,1,1,1,0,0
Bahrain,0,0,0,1,5,7,13,26,41,68,106,104,106,116,119,127,79,87
Bangladesh,13054,12927,11611,11904,12203,14835,15454,16599,16710,17002,16940,17709,17746,17046,17446,17881,437366,495537
Barbados,,,,,,,,,,,,0,0,0,0,0,0,0
Belarus,321,303,294,291,285,254,222,200,194,189,186,184,187,342,201,85,0,0
Belgium,,,,,,,,,,0,0,0,0,,0,0,0,0
Belize,0,161,582,513,349,59,66,2,7,15.5,24,33,25,41,243,0,0,0
Benin,1713,557,583,672,7371,4034,3038,2803,2675,2687,2819,2046,95,170,227,344,425,434
Bolivia (Plurinational State of),3,71,86,143,87,93,108,115,107,132,131,139,148,152,146,0,0,0
Bonaire,,,,,,,,,,0,0,,,,,,,
Bosnia and Herzegovina,,3605,2503.333333,,300,27901,26284,1222,954,11702,11501,837,845,809,1265,378,394,740
Botswana,1374,1236,1731,1754,1078,1088,1113.5,1139,1236,1259,1357,1313,1078,1028,872,1144,942,1497
Brazil,,,,,300,235.75,,,43,517,520,802,1011,1726,2756,1375,178,178
British Virgin Islands,,,,,,,,,0,0,0,0,0,0,,,0,0
Brunei Darussalam,,,,,,,,,,,,,,,0,0,0,0
Bulgaria,,,,,202,0,90,122,108,0,141,0,1602,801,0,0,0,0
Burkina Faso,,,,,402,286,281,302,303,306,341,21449,16226,17917,18608,18036,16306,42899
Burundi,21513,23554,29957,5072,6188,12080,18949,15216,18168,26773,28629,86775,69289,70956,44474,35098,44642,87864
Cabo Verde,,,,,,,,,,,,,,,0,0,0,0
Cambodia,271,78,28,21,9,79,104,91,60,70,25,21,15,14,103,89,14,14
Cameroon,932,634,9869,9740,5668,18599,32533,45923,57010,59519,58980,57522,71688,143624,196176,358248,197414,217272
Canada,,,,,,,,,15023,12026,21246,9839,8538,5949,4911,2688,0,27160
Cayman Islands,,,,,,,,,0,0,0,0,1,1,0,0,0,0
Central African Rep.,26281,27484,24134,13222,12532,72051,87068,112500,109879,108419,101437,8483,6412,4341,3991,7510,5216,3590
Chad,,790,0,142366,150172,114914,174510,287902,303009,192796,211408,203619,252736,265397,212412,325163,361146,372088
Chile,86,15,99,118,220,390,325,,,,,0,51.33333333,,154,269,541,348
China,57697,84949,86970,32,84585,57,82,33,46,73,47,99,94,84,128,114,59,59
"China, Hong Kong SAR",15,39,29,4,78,53,79,77,89,105,117,127,213,223,211,29,11,11
"China, Macao SAR",,,,,,,,,6,3,3,1,1,1,1,1,0,0
Colombia,39,38,36,26,39,32,33,50,44,56,62,50,52,51,69,127,26,817
Congo,2919,62838,53589,39046,36747,30609,18965,12751,9706,79212,82764,56683,28243,29705,25609,34809,28219,26438
