"","year","date","admin2","iso","household","individual","male","female","infant","child","youth","adult","elderly","fatalities","event","totalpop","percent_adult","individual_norm"
"1",2018,Apr 2018,"Bubanza","BDI",2103,10384,NA,NA,NA,NA,NA,NA,NA,0,1,11178,0.505725532295581,116072.352
"2",2018,Apr 2018,"Gitega","BDI",2521,12023,NA,NA,NA,NA,NA,NA,NA,4,5,11178,0.505725532295581,134393.094
"3",2018,Apr 2018,"Makamba","BDI",1550,7750,NA,NA,NA,NA,NA,NA,NA,1,2,11178,0.505725532295581,86629.5
"4",2018,Apr 2018,"Muyinga","BDI",300,852,NA,NA,NA,NA,NA,NA,NA,1,1,11178,0.505725532295581,9523.656
"5",2018,Apr 2018,"Rumonge","BDI",2183,10936,NA,NA,NA,NA,NA,NA,NA,0,2,11178,0.505725532295581,122242.608
"6",2018,Dec 2018,"Kirundo","BDI",3326,12376,NA,NA,NA,NA,NA,NA,NA,4,2,11178,0.505725532295581,138338.928
"7",2018,Dec 2018,"Rumonge","BDI",1492,7870,NA,NA,NA,NA,NA,NA,NA,0,1,11178,0.505725532295581,87970.86
"8",2018,Nov 2018,"Bubanza","BDI",2695,13240,NA,NA,NA,NA,NA,NA,NA,1,1,11178,0.505725532295581,147996.72
"9",2018,Jun 2018,"Bubanza","BDI",3651,17967,NA,NA,NA,NA,NA,NA,NA,0,2,11178,0.505725532295581,200835.126
"10",2018,Jun 2018,"Bururi","BDI",1354,5978,NA,NA,NA,NA,NA,NA,NA,0,2,11178,0.505725532295581,66822.084
"11",2018,Jun 2018,"Gitega","BDI",1604,6957,NA,NA,NA,NA,NA,NA,NA,3,3,11178,0.505725532295581,77765.346
"12",2018,Jun 2018,"Kirundo","BDI",2906,11096,NA,NA,NA,NA,NA,NA,NA,4,6,11178,0.505725532295581,124031.088
"13",2018,Jun 2018,"Makamba","BDI",1248,6240,NA,NA,NA,NA,NA,NA,NA,0,3,11178,0.505725532295581,69750.72
"14",2018,Jun 2018,"Muyinga","BDI",690,2066,NA,NA,NA,NA,NA,NA,NA,1,1,11178,0.505725532295581,23093.748
"15",2018,Jun 2018,"Rumonge","BDI",2185,11022,NA,NA,NA,NA,NA,NA,NA,0,3,11178,0.505725532295581,123203.916
"16",2018,Jun 2018,"Rutana","BDI",2131,10495,NA,NA,NA,NA,NA,NA,NA,1,1,11178,0.505725532295581,117313.11
"17",2018,Jun 2018,"Ruyigi","BDI",1300,6220,NA,NA,NA,NA,NA,NA,NA,0,1,11178,0.505725532295581,69527.16
"18",2018,Dec 2018,"Bururi","BDI",1014,4412,NA,NA,NA,NA,NA,NA,NA,0,1,11178,0.505725532295581,49317.336
"19",2018,Sep 2018,"Ruyigi","BDI",1272,6112,NA,NA,NA,NA,NA,NA,NA,1,1,11178,0.505725532295581,68319.936
"20",2018,Mar 2018,"Gitega","BDI",1003,4639,NA,NA,NA,NA,NA,NA,NA,0,1,11178,0.505725532295581,51854.742
"21",2018,Mar 2018,"Kayanza","BDI",1251,3327,NA,NA,NA,NA,NA,NA,NA,0,1,11178,0.505725532295581,37189.206
"22",2018,Nov 2018,"Bururi","BDI",1021,4454,NA,NA,NA,NA,NA,NA,NA,0,1,11178,0.505725532295581,49786.812
"23",2018,Mar 2018,"Bubanza","BDI",2134,10500,NA,NA,NA,NA,NA,NA,NA,1,1,11178,0.505725532295581,117369
