"","admin2","year","date","iso","household","individual","male","female","infant","child","youth","adult","elderly","fatalities","event","percent_adult","admin2pop","individual_norm"
"1","Abu Ghraib",2017,Oct 2017,"IRQ",15535,93210,NA,NA,NA,NA,NA,NA,NA,2,5,48.6581873876274,312448.561149538,0.298321104943062
"2","Abu Ghraib",2018,Jul 2018,"IRQ",4516,27096,NA,NA,NA,NA,NA,NA,NA,0,1,48.9243491181601,312448.561149538,0.0867214747295054
"3","Abu Ghraib",2018,Apr 2018,"IRQ",6558,39348,NA,NA,NA,NA,NA,NA,NA,0,1,48.9243491181601,312448.561149538,0.125934329334831
"4","Abu Ghraib",2018,Sep 2018,"IRQ",4082,24492,NA,NA,NA,NA,NA,NA,NA,2,2,48.9243491181601,312448.561149538,0.0783873028888045
"5","Abu Ghraib",2017,Dec 2017,"IRQ",10661,63966,NA,NA,NA,NA,NA,NA,NA,1,4,48.6581873876274,312448.561149538,0.204724898603024
"6","Abu Ghraib",2020,Jan 2020,"IRQ",1185,7110,NA,NA,NA,NA,NA,NA,NA,1,1,49.5799342505784,312448.561149538,0.0227557456940797
"7","Abu Ghraib",2018,Mar 2018,"IRQ",7037,42222,NA,NA,NA,NA,NA,NA,NA,5,5,48.9243491181601,312448.561149538,0.135132643417079
"8","Abu Ghraib",2018,Aug 2018,"IRQ",4308,25848,NA,NA,NA,NA,NA,NA,NA,8,5,48.9243491181601,312448.561149538,0.0827272172574645
"9","Abu Ghraib",2020,May 2020,"IRQ",1141,6846,NA,NA,NA,NA,NA,NA,NA,3,2,49.5799342505784,312448.561149538,0.0219108066134556
"10","Abu Ghraib",2018,Oct 2018,"IRQ",3912,23472,NA,NA,NA,NA,NA,NA,NA,2,4,48.9243491181601,312448.561149538,0.0751227655318479
"11","Abu Ghraib",2018,Jan 2018,"IRQ",8867,53202,NA,NA,NA,NA,NA,NA,NA,2,2,48.9243491181601,312448.561149538,0.170274427906671
"12","Abu Ghraib",2018,May 2018,"IRQ",5835,35010,NA,NA,NA,NA,NA,NA,NA,1,4,48.9243491181601,312448.561149538,0.112050443987304
"13","Abu Ghraib",2017,Nov 2017,"IRQ",13691,82146,NA,NA,NA,NA,NA,NA,NA,2,6,48.6581873876274,312448.561149538,0.262910476200545
"14","Abu Ghraib",2018,Feb 2018,"IRQ",7850,47100,NA,NA,NA,NA,NA,NA,NA,0,2,48.9243491181601,312448.561149538,0.150744813247701
"15","Akre",2020,Jan 2020,"IRQ",5003,30018,NA,NA,NA,NA,NA,NA,NA,1,2,49.5799342505784,134574.526505135,0.223058559294686
"16","Akre",2019,Sep 2019,"IRQ",5107,30642,NA,NA,NA,NA,NA,NA,NA,0,1,49.2412841735641,134574.526505135,0.227695395226457
"17","Amara",2020,May 2020,"IRQ",303,1818,NA,NA,NA,NA,NA,NA,NA,0,1,49.5799342505784,576682.424555972,0.00315251501101287
"18","Amara",2020,Mar 2020,"IRQ",303,1818,NA,NA,NA,NA,NA,NA,NA,2,4,49.5799342505784,576682.424555972,0.00315251501101287
"19","Amara",2020,Jan 2020,"IRQ",308,1848,NA,NA,NA,NA,NA,NA,NA,0,1,49.5799342505784,576682.424555972,0.00320453671086457
"20","Amara",2018,Mar 2018,"IRQ",851,5106,NA,NA,NA,NA,NA,NA,NA,0,1,48.9243491181601,576682.424555972,0.00885409331475893
"21","Amara",2018,Jul 2018,"IRQ",766,4596,NA,NA,NA,NA,NA,NA,NA,0,2,48.9243491181601,576682.424555972,0.00796972441728007
"22","Amara",2018,May 2018,"IRQ",812,4872,NA,NA,NA,NA,NA,NA,NA,0,1,48.9243491181601,576682.424555972,0.00844832405591569
"23","Amedi",2019,Jan 2019,"IRQ",1188,7128,NA,NA,NA,NA,NA,NA,NA,8,18,49.2412841735641,110945.987485327,0.064247478990105
"24","Amedi",2018,Jun 2018,"IRQ",2826,16956,NA,NA,NA,NA,NA,NA,NA,28,14,48.9243491181601,110945.987485327,0.152831124264341
"25","Amedi",2019,Sep 2019,"IRQ",1122,6732,NA,NA,NA,NA,NA,NA,NA,4,21,49.2412841735641,110945.987485327,0.0606781746017659
"26","Amedi",2018,Aug 2018,"IRQ",2764,16584,NA,NA,NA,NA,NA,NA,NA,29,12,48.9243491181601,110945.987485327,0.149478141354083
"27","Amedi",2020,Jan 2020,"IRQ",1156,6936,NA,NA,NA,NA,NA,NA,NA,0,11,49.5799342505784,110945.987485327,0.0625169071654557
"28","Amedi",2019,May 2019,"IRQ",2332,13992,NA,NA,NA,NA,NA,NA,NA,15,25,49.2412841735641,110945.987485327,0.126115421721317
"29","Amedi",2018,Feb 2018,"IRQ",2864,17184,NA,NA,NA,NA,NA,NA,NA,0,6,48.9243491181601,110945.987485327,0.154886178306112
"30","Amedi",2020,May 2020,"IRQ",1156,6936,NA,NA,NA,NA,NA,NA,NA,5,31,49.5799342505784,110945.987485327,0.0625169071654557
"31","Amedi",2017,Nov 2017,"IRQ",3324,19944,NA,NA,NA,NA,NA,NA,NA,16,9,48.6581873876274,110945.987485327,0.179763148285445
"32","Amedi",2018,Oct 2018,"IRQ",2674,16044,NA,NA,NA,NA,NA,NA,NA,18,23,48.9243491181601,110945.987485327,0.144610908097257
"33","Amedi",2018,Sep 2018,"IRQ",2728,16368,NA,NA,NA,NA,NA,NA,NA,23,24,48.9243491181601,110945.987485327,0.147531248051352
"34","Amedi",2019,Jul 2019,"IRQ",1153,6918,NA,NA,NA,NA,NA,NA,NA,49,39,49.2412841735641,110945.987485327,0.0623546660568949
"35","Amedi",2017,Dec 2017,"IRQ",3320,19920,NA,NA,NA,NA,NA,NA,NA,20,11,48.6581873876274,110945.987485327,0.179546826807364
"36","Amedi",2020,Mar 2020,"IRQ",1156,6936,NA,NA,NA,NA,NA,NA,NA,6,13,49.5799342505784,110945.987485327,0.0625169071654557
