"","date","admin1","admin2","admin3","origin","household","individual"
"1",2014-01-13,"Kayes","Kayes","Kayes Commune",NA,379,1805
"2",2014-01-13,"Koulikoro","Koulikoro","Koulikoro Commune",NA,2683,19101
"3",2014-01-13,"Sikasso","Sikasso","SIKASSO Commune",NA,941,4959
"4",2014-01-13,"Ségou","Segou","Segou Commune",NA,2466,12139
"5",2014-01-13,"Mopti","Mopti","Mopti Commune",NA,2222,8051
"6",2014-01-13,"Tombouctou","Tombouctou","Tombouctou",NA,10555,43959
"7",2014-01-13,"Gao","Gao","Gao",NA,7483,47562
"8",2014-01-13,"Kidal","Kidal","Anefif",NA,5246,34092
"9",2014-01-13,"Bamako","Bamako","Commune I",NA,6785,46143
"10",2014-02-28,"Bamako","Bamako","Commune II",NA,586,2836
"11",2014-02-28,"Bamako","Bamako","Commune I",NA,1496,11279
"12",2014-02-28,"Kidal","Tessalit","Tessalit",NA,NA,NA
"13",2014-02-28,"Bamako","Bamako","Commune III",NA,1048,6619
"14",2014-02-28,"Bamako","Bamako","Commune IV",NA,530,2555
"15",2014-02-28,"Bamako","Bamako","Commune V",NA,1687,11847
"16",2014-02-28,"Bamako","Bamako","Commune VI",NA,1438,11007
"17",2014-02-28,"Kidal","Kidal","Anefif",NA,5246,34092
"18",2014-02-28,"Kidal","Tin-Essako","Tin Essako",NA,NA,NA
"19",2014-02-28,"Kidal","Abeibara","Abeibara",NA,NA,NA
"20",2014-02-28,"Gao","Menaka","Menaka",NA,NA,NA
"21",2014-02-28,"Gao","Gao","Gao",NA,5494,29326
"22",2014-02-28,"Gao","Ansongo","Ansongo",NA,NA,NA
"23",2014-02-28,"Gao","Bourem","Bourem",NA,NA,NA
"24",2014-02-28,"Tombouctou","Goundam","Goundam Commune",NA,NA,NA
"25",2014-02-28,"Tombouctou","Gourma-Rharous","Rharous",NA,NA,NA
"26",2014-02-28,"Tombouctou","Niafunke","Souboundou",NA,NA,NA
"27",2014-02-28,"Tombouctou","Dire","Dire",NA,NA,NA
"28",2014-02-28,"Mopti","Tenenkou","Tenenkou Commune",NA,NA,NA
"29",2014-02-28,"Tombouctou","Tombouctou","Tombouctou",NA,10555,43959
"30",2014-02-28,"Mopti","Douentza","Douentza Commune",NA,NA,NA
"31",2014-02-28,"Mopti","Koro","Koro",NA,NA,NA
"32",2014-02-28,"Mopti","Bandiagara","Bandiagara Commune",NA,NA,NA
"33",2014-02-28,"Mopti","Bankass","Bankass",NA,NA,NA
"34",2014-02-28,"Mopti","Youwarou","Youwarou",NA,NA,NA
"35",2014-02-28,"Mopti","Djenne","Djenne Commune",NA,NA,NA
"36",2014-02-28,"Ségou","Niono","Niono",NA,NA,NA
"37",2014-02-28,"Ségou","Tominian","Tominian",NA,NA,NA
"38",2014-02-28,"Ségou","Macina","Macina",NA,NA,NA
"39",2014-02-28,"Mopti","Mopti","Mopti Commune",NA,2222,8051
"40",2014-02-28,"Ségou","Bla","Bla",NA,NA,NA
"41",2014-02-28,"Ségou","Segou","Segou Commune",NA,2466,12139
"42",2014-02-28,"Ségou","San","San Commune",NA,NA,NA
"43",2014-02-28,"Sikasso","Bougouni","Bougouni Commune",NA,NA,NA
"44",2014-02-28,"Sikasso","Sikasso","SIKASSO Commune",NA,941,4959
"45",2014-02-28,"Ségou","Baroueli","Baraoueli",NA,NA,NA
"46",2014-02-28,"Sikasso","Yanfolila","Baya",NA,NA,NA
"47",2014-02-28,"Sikasso","Koutiala","Koutiala Commune",NA,NA,NA
"48",2014-02-28,"Koulikoro","Koulikoro","Koulikoro Commune",NA,2683,19101
"49",2014-02-28,"Koulikoro","Dioila","Guegneka",NA,NA,NA
"50",2014-02-28,"Koulikoro","Kati","Kati Commune",NA,NA,NA
"51",2014-02-28,"Sikasso","Yorosso","Yorosso",NA,NA,NA
"52",2014-02-28,"Sikasso","Kolondieba","Kolondieba",NA,NA,NA
"53",2014-02-28,"Kayes","Kayes","Kayes Commune",NA,379,1805
"54",2014-02-28,"Kayes","Bafoulabe","Bafoulabe",NA,NA,NA
"55",2014-02-28,"Kayes","Diema","Diema",NA,NA,NA
"56",2014-02-28,"Kayes","Kita","Kita Commune",NA,NA,NA
"57",2014-02-28,"Kayes","Nioro","Nioro Commune",NA,NA,NA
"58",2014-03-12,"Koulikoro","Koulikoro","Koulikoro Commune",NA,2650,18794
"59",2014-03-12,"Kayes","Kayes","Kayes Commune",NA,372,1645
"60",2014-03-12,"Sikasso","Sikasso","SIKASSO Commune",NA,903,4128
"61",2014-03-12,"Ségou","Segou","Segou Commune",NA,2248,10932
"62",2014-03-12,"Mopti","Mopti","Mopti Commune",NA,2152,7550
"63",2014-03-12,"Tombouctou","Tombouctou","Tombouctou",NA,9574,37824
"64",2014-03-12,"Gao","Gao","Gao",NA,5232,27168
"65",2014-03-12,"Kidal","Kidal","Anefif",NA,5246,34092
"66",2014-03-12,"Bamako","Bamako","Commune I",NA,6650,44751
"67",2014-04-30,"Bamako","Bamako","Commune I",NA,6206,40733
"68",2014-04-30,"Bamako","Bamako","Commune II",NA,NA,NA
"69",2014-04-30,"Kidal","Tessalit","Tessalit",NA,1508,5553
"70",2014-04-30,"Kidal","Abeibara","Abeibara",NA,451,2737
"71",2014-04-30,"Bamako","Bamako","Commune V",NA,NA,NA
"72",2014-04-30,"Bamako","Bamako","Commune VI",NA,NA,NA
"73",2014-04-30,"Bamako","Bamako","Commune IV",NA,NA,NA
"74",2014-04-30,"Bamako","Bamako","Commune III",NA,NA,NA
"75",2014-04-30,"Kidal","Kidal","Anefif",NA,159,852
"76",2014-04-30,"Kidal","Tin-Essako","Tin Essako",NA,256,2103
"77",2014-04-30,"Gao","Menaka","Menaka",NA,1111,6581
"78",2014-04-30,"Gao","Gao","Gao",NA,496,3326
