"","lga","month","household","individual","male","female","infant","child","youth","adult","elderly"
"1","AGATU","2016-03",708,4018,1800,2218,260,510,1099,1768,381
"2","AKKO","2016-11",1301,6992,3571,3421,477,1170,2341,2715,289
"3","AKKO","2016-12",1317,7067,3593,3474,477,1183,2374,2748,285
"4","AKKO","2017-02",1193,6392,3231,3161,394,1180,1928,2625,265
"5","AKKO","2017-04",1265,6509,3001,3508,297,1117,2087,2846,162
"6","AKKO","2017-05",1269,6517,3199,3318,336,1060,1936,2939,246
"7","AKKO","2017-06",1276,6563,3048,3515,305,1128,2098,2866,166
"8","AKKO","2017-09",1298,6779,3204,3575,321,1184,2153,2942,179
"9","AKKO","2017-11",1275,6587,3060,3527,325,1097,2014,2969,182
"10","ALKALERI","2016-11",34,204,105,99,6,45,65,87,1
"11","ALKALERI","2016-12",34,204,105,99,6,45,65,87,1
"12","ALKALERI","2017-02",30,185,94,91,9,35,59,81,1
"13","ALKALERI","2017-04",24,150,70,80,9,30,44,64,3
"14","ALKALERI","2017-05",39,283,132,151,14,60,85,116,8
"15","ALKALERI","2017-06",39,282,133,149,14,60,85,115,8
"16","ALKALERI","2017-09",39,282,133,149,14,60,84,116,8
"17","ALKALERI","2017-11",42,281,134,147,21,56,81,114,9
"18","ARDO-KOLA","2019-05",17,85,39,46,4,10,26,40,5
"19","ARDO - KOLA","2016-08",27,191,84,107,5,64,66,51,5
"20","ARDO - KOLA","2016-10",13,51,25,26,1,13,12,24,1
"21","ARDO - KOLA","2016-11",922,4764,2156,2608,271,935,1316,2045,197
"22","ARDO - KOLA","2016-12",831,4110,1837,2273,298,559,1125,1891,237
"23","ARDO - KOLA","2017-02",1049,5327,2396,2931,273,682,1400,2685,287
"24","ARDO - KOLA","2017-04",1129,5775,2484,3291,323,815,1723,2659,255
"25","ARDO - KOLA","2017-05",1129,5775,2484,3291,323,815,1723,2659,255
"26","ARDO - KOLA","2017-06",1164,5964,2553,3411,331,822,1792,2747,272
"27","ARDO - KOLA","2017-09",1164,5964,2521,3443,336,767,1809,2761,291
"28","ARDO - KOLA","2017-11",1136,5794,2533,3261,441,778,1479,2792,304
"29","ARDO - KOLA","2018-01",17,85,39,46,6,13,22,41,3
