"","admin2","year","date","iso","household","individual","male","female","infant","child","youth","adult","elderly","fatalities","event","percent_adult","admin2pop","individual_norm"
"1","Dar El Salam",2016,Feb 2016,"SDN",1238,4829,2187,2642,823,NA,2107,1754,145,16,7,53.3969130380223,79654.0626416765,0.0606246541588624
"2","Dar El Salam",2016,Feb 2016,"SDN",1238,4829,2187,2642,823,NA,2107,1754,145,16,7,53.3969130380223,79654.0626416765,0.0606246541588624
"3","Dilling",2017,Mar 2017,"SDN",5,17,9,8,4,NA,7,5,1,3,2,53.6716242373753,155048.930505514,0.000109642807238812
"4","Dilling",2016,May 2016,"SDN",1293,9568,4593,4975,1155,NA,4009,3893,511,73,26,53.3969130380223,155048.930505514,0.0617095517447619
"5","Dilling",2017,Jan 2017,"SDN",5,26,3,2,26,NA,3,13,10,0,2,53.6716242373753,155048.930505514,0.000167688999306418
"6","Dilling",2016,May 2016,"SDN",1293,9568,4593,4975,1155,NA,4009,3893,511,73,26,53.3969130380223,155048.930505514,0.0617095517447619
"7","Dilling",2017,Mar 2017,"SDN",5,17,4,1,17,NA,4,7,5,3,2,53.6716242373753,155048.930505514,0.000109642807238812
"8","Dilling",2016,May 2016,"SDN",1293,9568,4593,4975,1155,NA,4009,3893,511,73,26,53.3969130380223,155048.930505514,0.0617095517447619
"9","Dilling",2016,May 2016,"SDN",1293,9568,754,539,9568,NA,1155,4009,3893,73,26,53.3969130380223,155048.930505514,0.0617095517447619
"10","Dilling",2017,Mar 2017,"SDN",5,17,9,8,4,NA,7,5,1,3,2,53.6716242373753,155048.930505514,0.000109642807238812
"11","Dilling",2017,Jan 2017,"SDN",5,26,18,8,3,NA,13,10,0,0,2,53.6716242373753,155048.930505514,0.000167688999306418
"12","Dilling",2017,Jan 2017,"SDN",5,26,18,8,3,NA,13,10,0,0,2,53.6716242373753,155048.930505514,0.000167688999306418
"13","Dilling",2017,Jan 2017,"SDN",5,26,18,8,3,NA,13,10,0,0,2,53.6716242373753,155048.930505514,0.000167688999306418
"14","Dilling",2017,Mar 2017,"SDN",5,17,9,8,4,NA,7,5,1,3,2,53.6716242373753,155048.930505514,0.000109642807238812
"15","El Abassiya",2016,Apr 2016,"SDN",127,853,419,434,120,NA,320,368,45,8,1,53.3969130380223,142604.308343876,0.00598158646050915
"16","El Abassiya",2016,Apr 2016,"SDN",127,853,419,434,120,NA,320,368,45,8,1,53.3969130380223,142604.308343876,0.00598158646050915
"17","El Abassiya",2017,Mar 2017,"SDN",3,21,1,2,21,NA,0,7,13,2,2,53.6716242373753,142604.308343876,0.000147260627984399
"18","El Abassiya",2017,Nov 2017,"SDN",14,94,5,9,94,NA,18,45,31,0,1,53.6716242373753,142604.308343876,0.000659166620501594
"19","El Abassiya",2016,Apr 2016,"SDN",127,853,419,434,120,NA,320,368,45,8,1,53.3969130380223,142604.308343876,0.00598158646050915
"20","El Abassiya",2016,Apr 2016,"SDN",127,853,96,31,853,NA,120,320,368,8,1,53.3969130380223,142604.308343876,0.00598158646050915
"21","El Fasher",2012,Jun 2012,"SDN",16675,34853,15592,19261,13337,NA,12999,7855,662,46,8,52.3289866283567,606963.120156961,0.0574219402176972
"22","El Fasher",2015,Mar 2015,"SDN",11294,24846,10198,14648,8611,NA,10044,5883,308,23,12,53.1410651860991,606963.120156961,0.0409349418026829
"23","El Fasher",2012,Jun 2012,"SDN",16675,34853,2189,5202,34853,NA,13337,12999,7855,46,8,52.3289866283567,606963.120156961,0.0574219402176972
"24","El Fasher",2015,Apr 2015,"SDN",785,2600,992,1608,597,NA,1008,931,64,2,7,53.1410651860991,606963.120156961,0.00428362105316652
"25","El Fasher",2012,Jun 2012,"SDN",16675,34853,15592,19261,13337,NA,12999,7855,662,46,8,52.3289866283567,606963.120156961,0.0574219402176972
"26","El Fasher",2015,Mar 2015,"SDN",639,2934,1223,1711,592,NA,1463,816,63,23,12,53.1410651860991,606963.120156961,0.00483390160384253
"27","El Fasher",2011,Sep 2011,"SDN",11607,35552,2373,8473,35552,NA,5253,12863,16057,45,6,52.1033126821127,606963.120156961,0.0585735752623755
"28","El Fasher",2011,Sep 2011,"SDN",11607,35552,15546,20006,5253,NA,12863,16057,1379,45,6,52.1033126821127,606963.120156961,0.0585735752623755
"29","El Fasher",2015,Mar 2015,"SDN",4124,12517,1374,2749,12517,NA,3576,3809,4440,23,12,53.1410651860991,606963.120156961,0.020622340277879
"30","El Fasher",2015,Mar 2015,"SDN",639,2934,1223,1711,592,NA,1463,816,63,23,12,53.1410651860991,606963.120156961,0.00483390160384253
"31","El Fasher",2015,Mar 2015,"SDN",639,2934,1223,1711,592,NA,1463,816,63,23,12,53.1410651860991,606963.120156961,0.00483390160384253
"32","El Fasher",2011,Sep 2011,"SDN",11607,35552,15546,20006,5253,NA,12863,16057,1379,45,6,52.1033126821127,606963.120156961,0.0585735752623755
"33","El Fasher",2015,Feb 2015,"SDN",988,4839,2080,2759,991,NA,2150,1565,133,15,8,53.1410651860991,606963.120156961,0.00797247779856646
"34","El Fasher",2012,Jun 2012,"SDN",16675,34853,15592,19261,13337,NA,12999,7855,662,46,8,52.3289866283567,606963.120156961,0.0574219402176972
"35","El Fasher",2015,Mar 2015,"SDN",11294,24846,912,4947,24846,NA,8611,10044,5883,23,12,53.1410651860991,606963.120156961,0.0409349418026829
"36","El Fasher",2015,Apr 2015,"SDN",785,2600,992,1608,597,NA,1008,931,64,2,7,53.1410651860991,606963.120156961,0.00428362105316652
"37","El Fasher",2014,Mar 2014,"SDN",24397,53499,22957,30542,9329,NA,20734,21183,2253,98,23,52.8490178524409,606963.120156961,0.0881420933551368
"38","El Fasher",2015,Mar 2015,"SDN",11294,24846,10198,14648,8611,NA,10044,5883,308,23,12,53.1410651860991,606963.120156961,0.0409349418026829
"39","El Fasher",2014,Mar 2014,"SDN",24397,53499,4912,14322,53499,NA,9329,20734,21183,98,23,52.8490178524409,606963.120156961,0.0881420933551368
"40","El Fasher",2011,Sep 2011,"SDN",11607,35552,15546,20006,5253,NA,12863,16057,1379,45,6,52.1033126821127,606963.120156961,0.0585735752623755
"41","El Fasher",2015,Mar 2015,"SDN",4124,12517,5278,7239,3576,NA,3809,4440,692,23,12,53.1410651860991,606963.120156961,0.020622340277879
"42","El Fasher",2015,Jun 2015,"SDN",1423,4126,1507,2619,948,NA,1587,1477,114,2,1,53.1410651860991,606963.120156961,0.00679777710206349
"43","El Fasher",2014,Mar 2014,"SDN",24397,53499,22957,30542,9329,NA,20734,21183,2253,98,23,52.8490178524409,606963.120156961,0.0881420933551368
"44","El Fasher",2015,Mar 2015,"SDN",4124,12517,5278,7239,3576,NA,3809,4440,692,23,12,53.1410651860991,606963.120156961,0.020622340277879
"45","El Fasher",2015,Apr 2015,"SDN",785,2600,992,1608,597,NA,1008,931,64,2,7,53.1410651860991,606963.120156961,0.00428362105316652
"46","El Fasher",2015,Mar 2015,"SDN",11294,24846,10198,14648,8611,NA,10044,5883,308,23,12,53.1410651860991,606963.120156961,0.0409349418026829
"47","El Fasher",2015,Jun 2015,"SDN",1423,4126,1507,2619,948,NA,1587,1477,114,2,1,53.1410651860991,606963.120156961,0.00679777710206349
"48","El Fasher",2015,Mar 2015,"SDN",4124,12517,5278,7239,3576,NA,3809,4440,692,23,12,53.1410651860991,606963.120156961,0.020622340277879
"49","El Fasher",2014,Mar 2014,"SDN",24397,53499,22957,30542,9329,NA,20734,21183,2253,98,23,52.8490178524409,606963.120156961,0.0881420933551368
"50","El Fasher",2015,Jun 2015,"SDN",1423,4126,1507,2619,948,NA,1587,1477,114,2,1,53.1410651860991,606963.120156961,0.00679777710206349
"51","El Fasher",2015,Mar 2015,"SDN",639,2934,179,460,2934,NA,592,1463,816,23,12,53.1410651860991,606963.120156961,0.00483390160384253
"52","El Fasher",2015,Feb 2015,"SDN",988,4839,297,691,4839,NA,991,2150,1565,15,8,53.1410651860991,606963.120156961,0.00797247779856646
"53","El Fasher",2015,Jun 2015,"SDN",1423,4126,246,1177,4126,NA,948,1587,1477,2,1,53.1410651860991,606963.120156961,0.00679777710206349
"54","El Fasher",2015,Feb 2015,"SDN",988,4839,2080,2759,991,NA,2150,1565,133,15,8,53.1410651860991,606963.120156961,0.00797247779856646
"55","El Fasher",2015,Feb 2015,"SDN",988,4839,2080,2759,991,NA,2150,1565,133,15,8,53.1410651860991,606963.120156961,0.00797247779856646
"56","El Fasher",2015,Apr 2015,"SDN",785,2600,101,684,2600,NA,597,1008,931,2,7,53.1410651860991,606963.120156961,0.00428362105316652
"57","El Geneina",2011,Apr 2011,"SDN",4002,13236,845,3004,13236,NA,3014,5027,4581,0,1,52.1033126821127,368181.597522102,0.0359496511750711
"58","El Geneina",2011,Apr 2011,"SDN",4002,13236,5556,7680,3014,NA,5027,4581,614,0,1,52.1033126821127,368181.597522102,0.0359496511750711
"59","El Geneina",2016,Jun 2016,"SDN",44,179,82,97,27,NA,74,69,9,1,3,53.3969130380223,368181.597522102,0.000486173130880759
"60","El Geneina",2011,Mar 2011,"SDN",997,2859,315,645,2859,NA,732,875,1107,0,1,52.1033126821127,368181.597522102,0.00776518983903962
"61","El Geneina",2011,Mar 2011,"SDN",6224,17219,7886,9333,4326,NA,6003,6085,805,0,1,52.1033126821127,368181.597522102,0.0467676823499207
"62","El Geneina",2011,Mar 2011,"SDN",6224,17219,1738,3330,17219,NA,4326,6003,6085,0,1,52.1033126821127,368181.597522102,0.0467676823499207
"63","El Geneina",2011,Mar 2011,"SDN",997,2859,1271,1588,732,NA,875,1107,145,0,1,52.1033126821127,368181.597522102,0.00776518983903962
"64","El Geneina",2011,Mar 2011,"SDN",3438,10063,4617,5446,2561,NA,3254,3865,383,0,1,52.1033126821127,368181.597522102,0.0273316213187323
"65","El Geneina",2011,Mar 2011,"SDN",3438,10063,1134,2073,10063,NA,2561,3254,3865,0,1,52.1033126821127,368181.597522102,0.0273316213187323
"66","El Geneina",2016,Jun 2016,"SDN",44,179,82,97,27,NA,74,69,9,1,3,53.3969130380223,368181.597522102,0.000486173130880759
"67","El Geneina",2011,Jun 2011,"SDN",2082,5637,676,1316,5637,NA,1359,1851,2130,2,2,52.1033126821127,368181.597522102,0.0153103795462282
"68","El Geneina",2013,Jun 2013,"SDN",2595,5822,2558,3264,1135,NA,1992,2337,358,2,7,52.5759292226358,368181.597522102,0.015812848983172
"69","El Geneina",2013,Jun 2013,"SDN",2595,5822,828,1449,5822,NA,1135,1992,2337,2,7,52.5759292226358,368181.597522102,0.015812848983172
